"","term","gene","Genes_in_Pathway"
"1696","Transport, Golgi Apparatus","SLC35A3",10
"1697","Transport, Golgi Apparatus","SLC35B2",10
"1698","Transport, Golgi Apparatus","SLC35B4",10
"1699","Transport, Golgi Apparatus","SLC35C1",10
"1700","Transport, Golgi Apparatus","SLC35D2",10
"1701","Transport, Golgi Apparatus","SLC9A7",10
"1702","Transport, Golgi Apparatus","SLC9A8",10
"1703","Transport, Lysosomal","ATP6V0A1",24
"1704","Transport, Lysosomal","ATP6V0A2",24
"1705","Transport, Lysosomal","ATP6V0A4",24
"1706","Transport, Lysosomal","ATP6V0B",24
"1707","Transport, Lysosomal","ATP6V0C",24
"1708","Transport, Lysosomal","ATP6V0D1",24
"1709","Transport, Lysosomal","ATP6V0D2",24
"1710","Transport, Lysosomal","ATP6V1A",24
"1711","Transport, Lysosomal","ATP6V1B1",24
"1712","Transport, Lysosomal","ATP6V1B2",24
"1713","Transport, Lysosomal","ATP6V1C1",24
"1714","Transport, Lysosomal","ATP6V1C2",24
"1715","Transport, Lysosomal","ATP6V1D",24
"1716","Transport, Lysosomal","ATP6V1E1",24
"1717","Transport, Lysosomal","ATP6V1E2",24
"1718","Transport, Lysosomal","ATP6V1F",24
"1719","Transport, Lysosomal","ATP6V1G1",24
"1720","Transport, Lysosomal","ATP6V1G2",24
"1721","Transport, Lysosomal","ATP6V1G3",24
"1722","Transport, Lysosomal","ATP6V1H",24
"1723","Transport, Lysosomal","SLC17A5",24
"1724","Transport, Lysosomal","SLC29A3",24
"1725","Transport, Lysosomal","SLC36A1",24
"1726","Transport, Lysosomal","TCIRG1",24
"1727","Transport, Mitochondrial","AQP8",6
"1728","Transport, Mitochondrial","AQP9",6
"1729","Transport, Mitochondrial","MMAA",6
"1730","Transport, Mitochondrial","SLC25A14",6
"1731","Transport, Mitochondrial","SLC25A27",6
"1732","Transport, Mitochondrial","SLC25A3",6
"1733","Triacylglycerol Synthesis","AGPAT1",24
"1734","Triacylglycerol Synthesis","AGPAT2",24
"1735","Triacylglycerol Synthesis","AGPAT3",24
"1736","Triacylglycerol Synthesis","AGPAT4",24
"1737","Triacylglycerol Synthesis","AGPAT5",24
"1738","Triacylglycerol Synthesis","AGPAT6",24
"1739","Triacylglycerol Synthesis","DGAT1",24
"1740","Triacylglycerol Synthesis","DGAT2",24
"1741","Triacylglycerol Synthesis","GNPAT",24
"1742","Triacylglycerol Synthesis","GPAM",24
"1743","Triacylglycerol Synthesis","LIPC",24
"1744","Triacylglycerol Synthesis","LIPF",24
"1745","Triacylglycerol Synthesis","LIPG",24
"1746","Triacylglycerol Synthesis","LPL",24
"1747","Triacylglycerol Synthesis","MGLL",24
"1748","Triacylglycerol Synthesis","MOGAT1",24
"1749","Triacylglycerol Synthesis","MOGAT2",24
"1750","Triacylglycerol Synthesis","PLA2G3",24
"1751","Triacylglycerol Synthesis","PNLIP",24
"1752","Triacylglycerol Synthesis","PNLIPRP1",24
"1753","Triacylglycerol Synthesis","PNLIPRP2",24
"1754","Triacylglycerol Synthesis","PPAP2A",24
"1755","Triacylglycerol Synthesis","PPAP2B",24
"1756","Triacylglycerol Synthesis","PPAP2C",24
"1757","Tryptophan metabolism","ALDH2",29
"1758","Tryptophan metabolism","AADAT",29
"1759","Tryptophan metabolism","ABP1",29
"1760","Tryptophan metabolism","ACMSD",29
"1761","Tryptophan metabolism","AOC2",29
"1762","Tryptophan metabolism","ASMT",29
"1763","Tryptophan metabolism","CCBL1",29
"1764","Tryptophan metabolism","DDC",29
"1765","Tryptophan metabolism","GCDH",29
"1766","Tryptophan metabolism","HAAO",29
"1767","Tryptophan metabolism","INMT",29
"1768","Tryptophan metabolism","KMO",29
"1769","Tryptophan metabolism","KYNU",29
"1770","Tryptophan metabolism","MAOA",29
"1771","Tryptophan metabolism","MAOB",29
"1772","Tryptophan metabolism","SLC16A10",29
"1773","Tryptophan metabolism","SLC18A1",29
"1774","Tryptophan metabolism","SLC18A2",29
"1775","Tryptophan metabolism","SLC22A1",29
"1776","Tryptophan metabolism","SLC22A2",29
"1777","Tryptophan metabolism","SLC22A3",29
"1778","Tryptophan metabolism","SLC25A21",29
"1779","Tryptophan metabolism","SLC6A14",29
"1780","Tryptophan metabolism","SLC7A5",29
"1781","Tryptophan metabolism","SLC7A8",29
"1782","Tryptophan metabolism","TDO2",29
"1783","Tryptophan metabolism","TPH1",29
"1784","Tryptophan metabolism","TPH2",29
"1785","Tryptophan metabolism","GOT2",29
"1786","Tyrosine metabolism","ADH4",52
"1787","Tyrosine metabolism","ALDH3A1",52
"1788","Tyrosine metabolism","ALDH3B1",52
"1789","Tyrosine metabolism","ALDH3B2",52
"1790","Tyrosine metabolism","ABP1",52
"1791","Tyrosine metabolism","AOC2",52
"1792","Tyrosine metabolism","AOC3",52
"1793","Tyrosine metabolism","COMT",52
"1794","Tyrosine metabolism","COMTD1",52
"1795","Tyrosine metabolism","DBH",52
"1796","Tyrosine metabolism","DCT",52
"1797","Tyrosine metabolism","DDC",52
"1798","Tyrosine metabolism","DUOX1",52
"1799","Tyrosine metabolism","DUOX2",52
"1800","Tyrosine metabolism","FAHD1",52
"1801","Tyrosine metabolism","FAH",52
"1802","Tyrosine metabolism","GOT1",52
"1803","Tyrosine metabolism","GOT2",52
"1804","Tyrosine metabolism","GSTZ1",52
"1805","Tyrosine metabolism","HGD",52
"1806","Tyrosine metabolism","HPD",52
"1807","Tyrosine metabolism","MAOA",52
"1808","Tyrosine metabolism","MAOB",52
"1809","Tyrosine metabolism","MOXD1",52
"1810","Tyrosine metabolism","PAH",52
"1811","Tyrosine metabolism","PNMT",52
"1812","Tyrosine metabolism","SLC16A10",52
"1813","Tyrosine metabolism","SLC16A2",52
"1814","Tyrosine metabolism","SLC18A1",52
"1815","Tyrosine metabolism","SLC18A2",52
"1816","Tyrosine metabolism","SLC22A1",52
"1817","Tyrosine metabolism","SLC22A2",52
"1818","Tyrosine metabolism","SLC22A3",52
"1819","Tyrosine metabolism","SLC6A14",52
"1820","Tyrosine metabolism","SLC6A2",52
"1821","Tyrosine metabolism","SLC6A3",52
"1822","Tyrosine metabolism","SLC6A4",52
"1823","Tyrosine metabolism","SLC7A5",52
"1824","Tyrosine metabolism","SLC7A8",52
"1825","Tyrosine metabolism","SLCO1A2",52
"1826","Tyrosine metabolism","SLCO1B1",52
"1827","Tyrosine metabolism","SLCO1B3",52
"1828","Tyrosine metabolism","SLCO1C1",52
"1829","Tyrosine metabolism","SLCO4A1",52
"1830","Tyrosine metabolism","SULT1A1",52
"1831","Tyrosine metabolism","SULT1A2",52
"1832","Tyrosine metabolism","SULT1A3",52
"1833","Tyrosine metabolism","TAT",52
"1834","Tyrosine metabolism","TH",52
"1835","Tyrosine metabolism","TPO",52
"1836","Tyrosine metabolism","TYR",52
"1837","Tyrosine metabolism","TYRP1",52
"1838","Ubiquinone Biosynthesis","HMGCR",6
"1839","Ubiquinone Biosynthesis","FDPS",6
"1840","Ubiquinone Biosynthesis","COQ2",6
"1841","Ubiquinone Biosynthesis","COQ3",6
"1842","Ubiquinone Biosynthesis","COQ6",6
"1843","Ubiquinone Biosynthesis","COQ7",6
"1844","Urea Cycle","GATM",14
"1845","Urea Cycle","ABP1",14
"1846","Urea Cycle","ACY1",14
"1847","Urea Cycle","AQP9",14
"1848","Urea Cycle","CPS1",14
"1849","Urea Cycle","SLC14A1",14
"1850","Urea Cycle","SLC14A2",14
"1851","Urea Cycle","ARG1",14
"1852","Urea Cycle","ARG2",14
"1853","Urea Cycle","ASL",14
"1854","Urea Cycle","ASS1",14
"1855","Urea Cycle","NOS1",14
"1856","Urea Cycle","NOS3",14
"1857","Urea Cycle","OTC",14
"1858","Valine, Leucine and Isoleucine Metabolism","HMGCL",39
"1859","Valine, Leucine and Isoleucine Metabolism","ALDH6A1",39
"1860","Valine, Leucine and Isoleucine Metabolism","ACAD8",39
"1861","Valine, Leucine and Isoleucine Metabolism","ACADM",39
"1862","Valine, Leucine and Isoleucine Metabolism","ACADSB",39
"1863","Valine, Leucine and Isoleucine Metabolism","ACAT1",39
"1864","Valine, Leucine and Isoleucine Metabolism","AUH",39
"1865","Valine, Leucine and Isoleucine Metabolism","BCAT1",39
"1866","Valine, Leucine and Isoleucine Metabolism","BCAT2",39
"1867","Valine, Leucine and Isoleucine Metabolism","BCKDHA",39
"1868","Valine, Leucine and Isoleucine Metabolism","BCKDHB",39
"1869","Valine, Leucine and Isoleucine Metabolism","DBT",39
"1870","Valine, Leucine and Isoleucine Metabolism","DLD",39
"1871","Valine, Leucine and Isoleucine Metabolism","HIBADH",39
"1872","Valine, Leucine and Isoleucine Metabolism","IVD",39
"1873","Valine, Leucine and Isoleucine Metabolism","MCCC1",39
"1874","Valine, Leucine and Isoleucine Metabolism","MCCC2",39
"1875","Valine, Leucine and Isoleucine Metabolism","MCEE",39
"1876","Valine, Leucine and Isoleucine Metabolism","MUT",39
"1877","Valine, Leucine and Isoleucine Metabolism","PCCA",39
"1878","Valine, Leucine and Isoleucine Metabolism","PCCB",39
"1879","Valine, Leucine and Isoleucine Metabolism","SLC16A1",39
"1880","Valine, Leucine and Isoleucine Metabolism","SLC16A7",39
"1881","Valine, Leucine and Isoleucine Metabolism","SLC16A8",39
"1882","Valine, Leucine and Isoleucine Metabolism","SLC1A5",39
"1883","Valine, Leucine and Isoleucine Metabolism","SLC5A8",39
"1884","Valine, Leucine and Isoleucine Metabolism","SLC38A1",39
"1885","Valine, Leucine and Isoleucine Metabolism","SLC38A2",39
"1886","Valine, Leucine and Isoleucine Metabolism","SLC38A4",39
"1887","Valine, Leucine and Isoleucine Metabolism","SLC43A1",39
"1888","Valine, Leucine and Isoleucine Metabolism","SLC43A2",39
"1889","Valine, Leucine and Isoleucine Metabolism","SLC6A14",39
"1890","Valine, Leucine and Isoleucine Metabolism","SLC7A2",39
"1891","Valine, Leucine and Isoleucine Metabolism","SLC7A3",39
"1892","Valine, Leucine and Isoleucine Metabolism","SLC7A5",39
"1893","Valine, Leucine and Isoleucine Metabolism","SLC7A6",39
"1894","Valine, Leucine and Isoleucine Metabolism","SLC7A7",39
"1895","Valine, Leucine and Isoleucine Metabolism","SLC7A8",39
"1896","Valine, Leucine and Isoleucine Metabolism","ALDH2",39
"1897","Vitamin B12 Metabolism","MMAA",1
"1898","Vitamin B6 Metabolism","PDXK",3
"1899","Vitamin B6 Metabolism","PDXP",3
"1900","Vitamin B6 Metabolism","PNPO",3
"1901","Vitamin D","CYP24A1",2
"1902","Vitamin D","CYP27A1",2
"1903","Xenobiotics Metabolism","ADH1A",30
"1904","Xenobiotics Metabolism","ADH1B",30
"1905","Xenobiotics Metabolism","ADH1C",30
"1906","Xenobiotics Metabolism","ADH7",30
"1907","Xenobiotics Metabolism","AKR1B1",30
"1908","Xenobiotics Metabolism","AKR1A1",30
"1909","Xenobiotics Metabolism","AKR1C4",30
"1910","Xenobiotics Metabolism","ALDH1A1",30
"1911","Xenobiotics Metabolism","ALDH1B1",30
"1912","Xenobiotics Metabolism","ALDH2",30
"1913","Xenobiotics Metabolism","ALDH3A1",30
"1914","Xenobiotics Metabolism","ALDH3B1",30
"1915","Xenobiotics Metabolism","ALDH3B2",30
"1916","Xenobiotics Metabolism","AOX1",30
"1917","Xenobiotics Metabolism","ZADH2",30
"1918","Xenobiotics Metabolism","SULT1A1",30
"1919","Xenobiotics Metabolism","SULT1A2",30
"1920","Xenobiotics Metabolism","SULT1A3",30
"1921","Xenobiotics Metabolism","AADAC",30
"1922","Xenobiotics Metabolism","AKR7A2",30
"1923","Xenobiotics Metabolism","CES2",30
"1924","Xenobiotics Metabolism","CYP2E1",30
"1925","Xenobiotics Metabolism","MAOA",30
"1926","Xenobiotics Metabolism","MAOB",30
"1927","Xenobiotics Metabolism","CYP51A1",30
"1928","Xenobiotics Metabolism","CBR1",30
"1929","Xenobiotics Metabolism","PAPSS1",30
"1930","Xenobiotics Metabolism","PAPSS2",30
"1931","Xenobiotics Metabolism","UGT1A10",30
"1932","Xenobiotics Metabolism","UGT1A8",30
